	项目类型	规则名称	规则说明	模板
	农村五保	农村五保身份证姓名不一致	比较公安人口信息，查找身份证一致而姓名不一致的农村五保人。确认领农村五保人的身份是否正确	身份姓名不一致模板
	农村五保	既吃农村五保分散供养又吃农村集中供养	同时只能享受一种供养方式	源源双表时间判断模板-1
	农村五保	领农业补贴金额大又吃农村五保	对领农业补贴金额大的家庭收入情况，确认是否符合农村五保条件	源源双表时间判断模板
	农村五保	领退耕还林补贴金额大又吃农村五保	对领退耕还林补贴金额大的家庭收入情况，确认是否符合农村五保条件	源源双表时间判断模板
	农村五保	领生态公益林补贴金额大又吃农村五保	对领生态公益林补贴金额大的家庭收入情况，确认是否符合农村五保条件	源源双表时间判断模板
	农村五保	财政供养人员吃农村五保	财政供养人员不是农村五保对象。	源比双表一对多模板
	农村五保	领导干部吃农村五保	领导干部不是农村五保对象	源比双表一对多模板
	农村五保	领导干部家属吃农村五保	核查领导干部家属吃农村五保情况，确认其家庭收入是否符合政策规定	源比比三表模板
	农村五保	村干部吃农村五保	村干部不是农村五保对象	源比双表一对多模板
	农村五保	村干部家属吃农村五保	核查村干部家属吃农村五保情况，确认其家庭收入是否符合政策规定	源比比三表模板
	农村五保	有工作吃农村五保	核实有工作吃农村五保人员家庭经济情况，确认是否符合农村五保政策	源比双表多对多模板
	农村五保	核查直系亲属有工作吃农村五保	核实直系亲属有工作吃农村五保人家庭经济情况，确认是否符合五保政策	源比比三表户籍模板
	农村五保	有公司吃农村五保	核实有公司吃农村五保人员家庭经济情况，确认是否符合农村五保政策	源比双表多对多模板
	农村五保	核查直系亲属有公司吃农村五保	核实直系亲属有公司吃农村五保人家庭经济情况，确认是否符合五保政策	源比比三表户籍模板
	农村五保	有车吃农村五保	核实有车吃农村五保人员家庭经济情况，确认是否符合农村五保政策	源比双表多对多模板
	农村五保	核查直系亲属有车吃农村五保	核实直系亲属有车吃农村五保人家庭经济情况，确认是否符合五保政策	源比比三表户籍模板
	农村五保	死亡还吃农村五保	核查死亡人员超期吃农村五保情况	死亡模板
	农村五保	购买农机吃农村五保	核实购买农机吃农村五保人员家庭经济情况，确认是否符合农村五保政策	源比双表多对多模板
	农村五保	核查直系亲属购买农机吃农村五保	核实直系亲属购买农机吃农村五保人家庭经济情况，确认是否符合五保政策	源比比三表户籍模板
	农村五保	有房吃农村五保	核实有房吃农村五保人员家庭经济情况，确认是否符合农村五保政策	源比双表多对多模板
	农村五保	核查直系亲属有房吃农村五保	核实直系亲属有房吃农村五保人家庭经济情况，确认是否符合五保政策	源比比三表户籍模板
	农村五保	国企职工吃农村五保	国企职工不是农村五保对象。	源比双表一对多模板
	农村五保	直系亲属是国企职工吃农村五保	核实直系亲属是国企职工吃农村五保人家庭经济情况，确认是否符合五保政策	源比比三表户籍模板
	医疗救助	医疗救助身份证未查到	比较公安人口信息，未查到医疗救助人身份证信息。确认领医疗救助人的身份是否正确	身份证未查到模板
	医疗救助	医疗救助身份证姓名不一致	比较公安人口信息，查找身份证一致而姓名不一致的医疗救助人。确认领医疗救助人的身份是否正确	身份姓名不一致模板
	医疗救助	领农业补贴金额大又领医疗救助	对领农业补贴金额大的家庭收入情况，确认是否符合农村五保条件	源源双表时间判断模板
	医疗救助	领退耕还林补贴金额大领医疗救助	对领退耕还林补贴金额大的家庭收入情况，确认是否符合农村五保条件	源源双表时间判断模板
	医疗救助	领生态公益林补贴金额大领医疗救助	对领退耕还林补贴金额大的家庭收入情况，确认是否符合农村五保条件	源源双表时间判断模板
	医疗救助	财政供养人员领医疗救助	财政供养人员不是医疗救助对象	源比双表一对多模板
	医疗救助	领导干部领医疗救助	领导干部不是医疗救助对象	源比双表一对多模板
	医疗救助	领导干部家属领医疗救助	核查领导干部家属领医疗救助情况，确认其家庭收入是否符合政策规定	源比比三表模板
	医疗救助	村干部领医疗救助	村干部不是医疗救助对象	源比双表一对多模板
	医疗救助	村干部家属领医疗救助	核查村干部家属领医疗救助情况，确认其家庭收入是否符合政策规定	源比比三表模板
	医疗救助	有工作领医疗救助	核实有工作领医疗救助人员家庭经济情况，确认是否符合医疗救助政策	源比双表多对多模板
	医疗救助	核查直系亲属有工作领医疗救助	核实直系亲属有工作领医疗救助人家庭经济情况，确认是否符合救助政策	源比比三表户籍模板
	医疗救助	有公司领医疗救助	核实有公司吃医疗救助人员家庭经济情况，确认是否符合医疗救助政策	源比双表多对多模板
	医疗救助	核查直系亲属有公司领医疗救助	核实直系亲属有公司领医疗救助人家庭经济情况，确认是否符合救助政策	源比比三表户籍模板
	医疗救助	有车领医疗救助	核实有车领医疗救助人员家庭经济情况，确认是否符合医疗救助政策	源比双表多对多模板
	医疗救助	核查直系亲属有车领医疗救助	核实直系亲属有车领医疗救助人家庭经济情况，确认是否符合救助政策	源比比三表户籍模板
	医疗救助	购买农机领医疗救助	核实购买农机人员家庭经济情况，确认是否符合医疗救助政策	源比双表多对多模板
	医疗救助	核查直系亲属购买农机领医疗救助	核实直系亲属购买农机领医疗救助人家庭经济情况，确认是否符合救助政策	源比比三表户籍模板
	医疗救助	有房领医疗救助	核实有房领医疗救助人员家庭经济情况，确认是否符合医疗救助政策	源比双表多对多模板
	医疗救助	核查直系亲属有房领医疗救助	核实直系亲属有房领医疗救助人家庭经济情况，确认是否符合救助政策	源比比三表户籍模板
	医疗救助	国企职工领医疗救助	国企职工不是医疗救助对象。	源比双表一对多模板
	医疗救助	核查直系亲属是国企职工领医疗救助	核实直系亲属是国企职工领医疗救助人家庭经济情况，确认是否符合救助政策	源比比三表户籍模板
	保障房	廉租房补贴人身份证未查到	比较公安人口信息，未查到廉租房补贴人身份证信息。确认领廉租房补贴人的身份是否正确	身份证未查到模板
	保障房	廉租房补贴人身份证姓名不一致	比较公安人口信息，查找身份证一致而姓名不一致的廉租房补贴人。确认领廉租房补贴人的身份是否正确	身份姓名不一致模板
	保障房	领农业补贴金额大又领廉租房补贴	对领农业补贴金额大的家庭收入情况，确认是否符合领廉租房补贴条件	源源双表时间判断模板
	保障房	领退耕还林补贴金额大又领廉租房补贴	对领退耕还林补贴金额大的家庭收入情况，确认是否符合领廉租房补贴条件	源源双表时间判断模板
	保障房	领生态公益林补贴金额大又领廉租房补贴	对领生态公益林补贴金额大的家庭收入情况，确认是否符合领廉租房补贴条件	源源双表时间判断模板
	保障房	财政供养人员领廉租房补贴	财政供养人员不是廉租房补贴对象	源比双表一对多模板
	保障房	领导干部领廉租房补贴	领导干部不是廉租房补贴对象	源比双表一对多模板
	保障房	领导干部家属领廉租房补贴	核查领导干部家属领廉租房补贴情况，确认其家庭收入是否符合政策规定	源比比三表模板
	保障房	村干部领廉租房补贴	村干部不是廉租房补贴对象	源比双表一对多模板
	保障房	村干部家属领廉租房补贴	核查领导干部家属领廉租房补贴情况，确认其家庭收入是否符合政策规定	源比比三表模板
	保障房	有工作领廉租房补贴	核实有工作领廉租房补贴人员家庭经济情况，确认是否符合廉租房补贴政策	源比双表多对多模板
	保障房	核查直系亲属有工作领廉租房补贴	核实直系亲属有工作领廉租房补贴人家庭经济情况，确认是否符合补贴政策	源比比三表户籍模板
	保障房	有公司领廉租房补贴	核实有公司领廉租房补贴人员家庭经济情况，确认是否符合廉租房补贴政策	源比双表多对多模板
	保障房	核查直系亲属有公司领廉租房补贴	核实直系亲属有公司领廉租房补贴人家庭经济情况，确认是否符合补贴政策	源比比三表户籍模板
	保障房	有车领廉租房补贴	核实有车领廉租房补贴人员家庭经济情况，确认是否符合廉租房补贴政策	源比双表多对多模板
	保障房	核查直系亲属有车领廉租房补贴	核实直系亲属有车领廉租房补贴人家庭经济情况，确认是否符合补贴政策	源比比三表户籍模板
	保障房	购买农机领廉租房补贴	核实购买农机领廉租房补贴人员家庭经济情况，确认是否符合廉租房补贴政策	源比双表多对多模板
	保障房	核查直系亲属购买农机领廉租房补贴	核实直系亲属购买农机领廉租房补贴人家庭经济情况，确认是否符合补贴政策	源比比三表户籍模板
	保障房	死亡超过1年还领廉租房补贴	核实死亡还领廉租房补贴的情况	死亡模板
	保障房	有房领廉租房补贴	核实有房领廉租房补贴人员家庭经济情况，确认是否符合廉租房补贴政策	源比双表多对多模板
	保障房	核查直系亲属有房领廉租房补贴	核实直系亲属有房领廉租房补贴人家庭经济情况，确认是否符合补贴政策	源比比三表户籍模板
	保障房	国企职工领廉租房补贴	国企职工不是廉租房补贴对象。	源比双表一对多模板
	保障房	核查直系亲属是国企职工领廉租房补贴	核实直系亲属是国企职工领廉租房补贴人家庭经济情况，确认是否符合补贴政策	源比比三表户籍模板
	农村危房	农村危房补助人身份证未查到	比较公安人口信息，未查到农村危房补助人身份证信息。确认领农村危房补助人的身份是否正确	身份证未查到模板
	农村危房	农村危房补助人身份证姓名不一致	比较公安人口信息，查找身份证一致而姓名不一致的农村危房补助人。确认领农村危房补助人的身份是否正确	身份姓名不一致模板
	农村危房	领农业补贴金额大又领农村危房补助	对领农业补贴金额大的家庭收入情况，确认是否符合领农村危房补助条件	源源双表时间判断模板
	农村危房	领退耕还林补贴金额大又领农村危房补助	对领退耕还林补贴金额大的家庭收入情况，确认是否符合领农村危房补助条件	源源双表时间判断模板
	农村危房	领生态公益林补贴金额大又领农村危房补助	对领生态公益林补贴金额大的家庭收入情况，确认是否符合领农村危房补助条件	源源双表时间判断模板
	农村危房	财政供养人员领农村危房补助	财政供养人员不是农村危房补助对象	源比双表一对多模板
	农村危房	领导干部领农村危房补助	领导干部不是农村危房补助对象	源比双表一对多模板
	农村危房	领导干部家属领农村危房补助	核查领导干部家属领农村危房补助情况，确认其家庭收入是否符合政策规定	源比比三表模板
	农村危房	村干部领农村危房补助	村干部不是农村危房补助对象	源比双表一对多模板
	农村危房	村干部家属领危房补助	核查领导干部家属领危房补助贴情况，确认其家庭收入是否符合政策规定	源比比三表模板
	农村危房	有工作领农村危房补助	核实有工作领农村危房补助人员家庭经济情况，确认是否符合补助政策	源比双表多对多模板
	农村危房	核查直系亲属有工作领农村危房补助	核实直系亲属有工作领农村危房补助人家庭经济情况，确认是否符合补贴政策	源比比三表户籍模板
	农村危房	有公司领农村危房补助	核实有公司领农村危房补助人员家庭经济情况，确认是否符合补助政策	源比双表多对多模板
	农村危房	核查直系亲属有公司领农村危房补助	核实直系亲属有公司领农村危房补助人家庭经济情况，确认是否符合补贴政策	源比比三表户籍模板
	农村危房	有车领农村危房补助	核实有车领农村危房补助人员家庭经济情况，确认是否符合补助政策	源比双表多对多模板
	农村危房	核查直系亲属有车领农村危房补助	核实直系亲属有车领农村危房补助人家庭经济情况，确认是否符合补贴政策	源比比三表户籍模板
	农村危房	购买农机领农村危房补助	核实购买农机领农村危房补助人员家庭经济情况，确认是否符合补助政策	源比双表多对多模板
	农村危房	核查直系亲属购买农机领农村危房补助	核实直系亲属购买农机领农村危房补助人家庭经济情况，确认是否符合补贴政策	源比比三表户籍模板
	农村危房	死亡超过1年还领农村危房补助	核实死亡还领农村危房补助的情况	死亡模板
	农村危房	有房领农村危房补助	核实有房领农村危房补助人员家庭经济情况，确认是否符合补助政策	源比双表多对多模板
	农村危房	核查直系亲属有房领农村危房补助	核实直系亲属有房领农村危房补助人家庭经济情况，确认是否符合补贴政策	源比比三表户籍模板
	农村危房	国企职工领农村危房补助	国企职工不是农村危房补助对象。	源比双表一对多模板
	农村危房	核查直系亲属是国企职工领农村危房补助	核实直系亲属是国企职工领农村危房补助人家庭经济情况，确认是否符合补贴政策	源比比三表户籍模板
	农业补贴	农业补贴人身份证未查到	比较公安人口信息，未查到农业补贴人身份证信息。确认领农业补贴人的身份是否正确	身份证未查到模板
	农业补贴	农业补贴人身份证姓名不一致	比较公安人口信息，查找身份证一致而姓名不一致的农业补贴人。确认领农业补贴人的身份是否正确	身份姓名不一致模板
	农业补贴	核查领农业补贴面积大前200人	核查领农业补贴面积大的农户的种植面积和种植作物是否属实	面积排序
	农业补贴	核查财政供养人员领农业补贴	核查财政供养人员领农业补贴的情况是否属实，重点核查补助面积、种植品种是否真实。	源比双表一对多模板
	农业补贴	领导干部领农业补贴	领导干部不是农业补贴对象。	源比双表一对多模板
	农业补贴	核查领导干部家属领农业补贴	核查领导干部家属领农业补贴情况，确认种植面积是否属实、种植作物是否属实	源比比三表模板
	农业补贴	核查村干部领农业补贴	核查村干部领农业补贴的情况是否属实，重点核查补助面积、种植品种是否真实。	源比双表一对多模板
	农业补贴	核查村干部家属领农业补贴	核查村干部家属领农业补贴情况，确认种植面积是否属实、种植作物是否属实	源比比三表模板
	退耕还林	退耕还林补贴人身份证未查到	比较公安人口信息，未查到退耕还林补贴人身份证信息。确认领退耕还林补贴人的身份是否正确	身份证未查到模板
	退耕还林	退耕还林补贴人身份证姓名不一致	比较公安人口信息，查找身份证一致而姓名不一致的退耕还林补贴人。确认领退耕还林补贴人的身份是否正确	身份姓名不一致模板
	退耕还林	核查退耕还林面积大前200人	核查领退耕还林补贴户面积大的种植面积和种植作物是否属实	面积排序
	退耕还林	核查财政供养人员领退耕还林补贴	核查财政供养人员领退耕还林补贴的情况是否属实，重点核查补助面积、种植品种是否真实。	源比双表一对多模板
	退耕还林	领导干部领退耕还林补贴	领导干部不是退耕还林补贴对象。	源比双表一对多模板
	退耕还林	核查领导干部家属领退耕还林	核查领导干部家属领退耕还林情况，确认种植面积是否属实、种植作物是否属实	源比比三表模板
	退耕还林	核查村干部领退耕还林补贴	核查村干部领退耕还林补贴的情况是否属实，重点核查补助面积、种植品种是否真实。	源比双表一对多模板
	退耕还林	核查村干部家属领退耕还林补贴	核查村干部家属领退耕还林补贴情况，确认种植面积是否属实、种植作物是否属实	源比比三表模板
	生态公益林	生态公益林补贴人身份证未查到	比较公安人口信息，未查到生态公益林补贴人身份证信息。确认领生态公益林补贴人的身份是否正确	身份证未查到模板
	生态公益林	生态公益林补贴人身份证姓名不一致	比较公安人口信息，查找身份证一致而姓名不一致的生态公益林人。确认领生态公益林人的身份是否正确	身份姓名不一致模板
	生态公益林	核查领生态公益林面积大前200人	核查领生态公益林补贴户面积大的种植面积和种植作物是否属实	面积排序
	生态公益林	核查财政供养人员领生态公益林补贴	核查财政供养人员领生态公益林补贴的情况是否属实，重点核查补助面积、种植品种是否真实。	源比双表一对多模板
	生态公益林	领导干部领生态公益林补贴	领导干部不是生态公益林补贴对象。	源比双表一对多模板
	生态公益林	核查领导干部家属领生态公益林补贴	核查领导干部家属领生态公益林补贴情况，确认种植面积是否属实、种植作物是否属实	源比比三表模板
	生态公益林	核查村干部领生态公益林补贴	核查村干部领生态公益林补贴的情况是否属实，重点核查补助面积、种植品种是否真实。	源比双表一对多模板
	生态公益林	核查村干部家属领生态公益林补贴	核查村干部家属领生态公益林补贴情况，确认种植面积是否属实、种植作物是否属实	源比比三表模板
